name,normalized_name,canonical_name,price,in_stock,product_link,market_name
Samsung DV90CGC0A0AEAH 9 Kg Kurutma Makinesi A++,0 0 9 90 a a aeah cgc dv kg kurutma makinesi samsung,0 0 9 90 a a aeah cgc dv kg kurutma makinesi samsung,25999.0,1,https://www.carrefoursa.com/samsung-dv90cgc0a0aeah-9-kg-kurutma-makinesi-a--p-30456895,carrefour
Samsung DV90CGC0A0ABAH 9 Kg Çamaşır Kurutma Makinesi,0 0 9 90 a abah camasr cgc dv kg kurutma makinesi samsung,0 0 9 90 a abah camasr cgc dv kg kurutma makinesi samsung,28999.0,1,https://www.carrefoursa.com/samsung-dv90cgc0a0abah-9-kg-camasir-kurutma-makinesi-p-30482829,carrefour
Samsung DV90CGC0A0ABAH 9 KG Siyah Çamaşır Kurutma Makinesi,0 0 9 90 a abah camasr cgc dv kg kurutma makinesi samsung siyah,0 0 9 90 a abah camasr cgc dv kg kurutma makinesi samsung siyah,32999.95,1,https://www.migros.com.tr/samsung-dv90cgc0a0abah-9-kg-siyah-camasir-kurutma-makinesi-p-25bf174,migros
Chicco Natural Feeling Biberon 0 Ay+ 150 Ml,0 150 ay biberon chicco feeling ml natural,0 150 ay biberon chicco feeling ml natural,399.95,1,https://www.migros.com.tr/chicco-natural-feeling-biberon-0-ay-150-ml-p-1e22d9c,migros
Instant Perfector Glow 4 Etki 1 Arada Fondöten- 00 Fair Light,00 1 4 arada etki fair fondoten glow instant light perfector,00 1 4 arada etki fair fondoten glow instant light perfector,420.0,1,https://www.migros.com.tr/instant-perfector-glow-4-etki-1-arada-fondoten-00-fair-light-p-21cf35a,migros
Maybelline New York Super Stay Ink Crayon Kalem Mat Ruj - 25 Stay Exceptional,25 crayon exceptional ink kalem mat maybelline new ruj stay stay super york,00 concealer iar ivory maybelline new york,337.0,1,https://www.migros.com.tr/maybelline-new-york-super-stay-ink-crayon-kalem-mat-ruj-25-stay-exceptional-p-21c2ff2,migros
Flormar 4 in 1 Complete Çok Yönlü Bakım Yapan Tırnak Cilası - 000 Transparent,000 1 4 bakm cilas cok complete flormar in transparent trnak yapan yonlu,000 1 4 bakm cilas cok complete flormar in transparent trnak yapan yonlu,122.95,1,https://www.migros.com.tr/flormar-4-in-1-complete-cok-yonlu-bakim-yapan-tirnak-cilasi-000-transparent-p-21cf335,migros
Flormar Gentle Cuticle Remover Tırnak Eti Yumuşatıcı ve Temizleyici Bakım Jeli - 000 Transparent,000 bakm cuticle eti flormar gentle jeli remover temizleyici transparent trnak ve yumusatc,000 bakm cuticle eti flormar gentle jeli remover temizleyici transparent trnak ve yumusatc,122.95,1,https://www.migros.com.tr/flormar-gentle-cuticle-remover-tirnak-eti-yumusatici-ve-temizleyici-bakim-jeli-000-transparent-p-21cf33a,migros
Marvel Spidey Disk Fırlatan Araba-snf0007,0007 arabasnf disk frlatan marvel spidey,0007 arabasnf disk frlatan marvel spidey,480.95,1,https://www.migros.com.tr/marvel-spidey-disk-firlatan-araba-snf0007-p-2292a0f,migros
Touch Me Alüminyum Kamp Masası 60X40x26 cm (bx001),001 26 40 60 aluminyum bx cm kamp masas me touch x x,001 26 40 60 aluminyum bx cm kamp masas me touch x x,699.95,1,https://www.migros.com.tr/touch-me-aluminyum-kamp-masasi-60x40x26-cm-bx001-p-2634468,migros
