canonical_name,market_prices,min_price,max_price,price_diff,price_diff_percent,cheapest_market,most_expensive_market,num_markets
20 koleston set siyah,"sokmarket: 6499, mopas: 152.9, carrefour: 12999",152.9,12999.0,12846.1,8401.634979248047,mopas,carrefour,3
arac ayarl ch1240 ici ithink telefon tutucu vantuzlu,"carrefour: 6, migros: 129.95, mopas: 218.45",6.0,218.45,212.45,3540.833282470703,carrefour,mopas,3
2 50 adet classic gr nescafe x,"marketpaketi: 250, carrefour: 120, mopas: 9.75, migros: 8.5, sokmarket: 8.5",8.5,250.0,241.5,2841.176414489746,migros,marketpaketi,5
baklava fstkl kg soguk,"carrefour: 399, sokmarket: 19.9, migros: 559.9",19.9,559.9,540.0,2713.5679244995117,sokmarket,migros,3
142 fndkl g gofret karamelli torku ve,"marketpaketi: 625, migros: 37.75, sokmarket: 23.5",23.5,625.0,601.5,2559.574508666992,sokmarket,marketpaketi,3
baslangc kart paketi tosla,"carrefour: 9.9, sokmarket: 5, migros: 130",5.0,130.0,125.0,2500.0,sokmarket,migros,3
10 adet kahve kapsul kapsul moliendo nespresso no10 uyumlu,"migros: 4, carrefour: 99.9, sokmarket: 39.95",4.0,99.9,95.9,2397.5000381469727,migros,carrefour,3
20 33 adet cevizli cikolatal gofret gr hindistan sarelle x,"marketpaketi: 599.9, migros: 25",25.0,599.9,574.9,2299.600028991699,migros,marketpaketi,2
17 cikolatal g kahve karsm kopuklu mocha nescafe,"marketpaketi: 225, sokmarket: 9.5, migros: 9.5, mopas: 10.9",9.5,225.0,215.5,2268.42098236084,sokmarket,marketpaketi,4
100 6 600 adet bar fndkl gr hobby kakaolu paket sutlu ulker ve x,"marketpaketi: 210, sokmarket: 75, mopas: 9.2",9.2,210.0,200.8,2182.6087951660156,mopas,marketpaketi,3
20 200 adet capri dragon ml mystic sun x,"marketpaketi: 290, sokmarket: 13, mopas: 13.25",13.0,290.0,277.0,2130.769157409668,sokmarket,marketpaketi,3
5 beyaz eversweet filtresi parca petkit pnar su,"carrefour: 17.25, migros: 199.95, mopas: 9.75",9.75,199.95,190.2,1950.7692337036133,mopas,migros,3
24 25 adet bee bogurtlen gr mixmey polen x,"carrefour: 26.9, migros: 26.95, marketpaketi: 525",26.9,525.0,498.1,1851.6729354858398,carrefour,marketpaketi,3
house leva narenciye skacag,"sokmarket: 59.95, carrefour: 899, migros: 49.95",49.95,899.0,849.05,1699.7997283935547,migros,carrefour,3
beyaz lenox primanova sabunluk sv,"sokmarket: 229, carrefour: 13.1, migros: 99.95",13.1,229.0,215.9,1648.0915069580078,carrefour,sokmarket,3
20 36 adet babol big cilek clgn gr karpuz meyveler sakz x,"mopas: 34.5, marketpaketi: 570",34.5,570.0,535.5,1552.173900604248,mopas,marketpaketi,2
500 ayklanms donuk g karides kocaman,"mopas: 459.95, carrefour: 29.9, migros: 224.95, marketpaketi: 49",29.9,459.95,430.05002,1438.2944107055664,carrefour,mopas,4
60 algida bar cikolatal frigola ml,"carrefour: 169.9, mopas: 11.5",11.5,169.9,158.4,1377.391242980957,mopas,carrefour,2
15 15 adet cilek freeze fresh gr kurutulmus x,"migros: 59.95, marketpaketi: 875",59.95,875.0,815.05,1359.549617767334,migros,marketpaketi,2
230 g hardal tat,"migros: 79.95, carrefour: 5.55, sokmarket: 58.95, mopas: 73.55",5.55,79.95,74.399994,1340.5404090881348,carrefour,migros,4
12 172 adet cicibebe eti gr vitaminli x,"marketpaketi: 490, migros: 35, carrefour: 109.95, sokmarket: 35",35.0,490.0,455.0,1300.0,migros,marketpaketi,4
175 g gofret kremal limon rulo schulte,"mopas: 18.95, marketpaketi: 12.5, migros: 99.9, carrefour: 174.9",12.5,174.9,162.4,1299.1999626159668,marketpaketi,carrefour,4
100 etli friskies gr kopek patatesli sgr,"migros: 582.95, mopas: 48.25, carrefour: 41.75",41.75,582.95,541.2,1296.287441253662,carrefour,migros,3
200 domatesli g humus kuru mezzet,"migros: 43.75, carrefour: 599.9",43.75,599.9,556.15,1271.2000846862793,migros,carrefour,2
12 350 adet eti ezmesi gr ince lifalif ogutulmus x yulaf,"migros: 64.9, mopas: 49.95, sokmarket: 54.75, carrefour: 103.5, marketpaketi: 680",49.95,680.0,630.05,1261.361312866211,mopas,marketpaketi,5
102 biskuvi cikolatal fiorella g sutlu,"sokmarket: 6, mopas: 63.2, migros: 79.95",6.0,79.95,73.95,1232.4999809265137,sokmarket,migros,3
artikel cars fs199 glow maxi sticker,"carrefour: 12.15, migros: 159.9",12.15,159.9,147.75,1216.0493850708008,carrefour,migros,2
4 ates cag dark souls,"migros: 359, sokmarket: 27.95",27.95,359.0,331.05,1184.4364166259766,sokmarket,migros,2
10 33 39 alsveris cantas cm kanvas tivoli x x,"carrefour: 10.15, sokmarket: 14.95, migros: 129.95",10.15,129.95,119.799995,1180.2955627441406,carrefour,migros,3
kg kivi kurusu,"mopas: 57.47, sokmarket: 29.9, carrefour: 99.9, migros: 379.95",29.9,379.95,350.05002,1170.7358360290527,sokmarket,migros,4
40 familia kagd kagd l tuvalet tuvalet,"sokmarket: 23.75, carrefour: 215.95, mopas: 182.8, marketpaketi: 299.99",23.75,299.99,276.24,1163.1157875061035,sokmarket,marketpaketi,4
20 5 7 adet aromal damla falm gr paket sakz sakz x x,"marketpaketi: 22.25, sokmarket: 10.75, mopas: 12.65, migros: 134.95, carrefour: 18",10.75,134.95,124.2,1155.348777770996,sokmarket,migros,5
500 antep fstkl gr helva helva tahin torku,"sokmarket: 7.5, mopas: 7.45, migros: 26.5, marketpaketi: 90, carrefour: 26.75",7.45,90.0,82.55,1108.0537796020508,mopas,marketpaketi,5
cevizli kelebek kg pekmezli sar sucuk,"mopas: 33.3, migros: 399.95, marketpaketi: 90",33.3,399.95,366.65002,1101.051139831543,mopas,migros,3
90 bio carrefour dut g kurusu organik,"carrefour: 50, migros: 599.95, mopas: 81.25",50.0,599.95,549.95,1099.9000549316406,carrefour,migros,3
1 hgoi lordlar sc varisler ve,"migros: 350, carrefour: 4199",350.0,4199.0,3849.0,1099.7142791748047,migros,carrefour,2
2228 2li body corab erkek pure soket yarm,"migros: 49.9, sokmarket: 21.95, carrefour: 259.99",21.95,259.99,238.04,1084.4646453857422,sokmarket,carrefour,3
38 aromal draje g kapl meyve seker skittles yumusak,"marketpaketi: 350, carrefour: 29.9, migros: 29.95",29.9,350.0,320.1,1070.568561553955,carrefour,marketpaketi,3
18 26 adet aromal babol big cilekli gr milkshake sakz shakies x,"sokmarket: 20, marketpaketi: 230, mopas: 34.5, carrefour: 30",20.0,230.0,210.0,1050.0,sokmarket,marketpaketi,4
adet kalem mavi my pen pensan tukenmez,"migros: 78.95, marketpaketi: 7",7.0,78.95,71.95,1027.8571128845215,marketpaketi,migros,2
3 kg komuru mangal mangal sefas,"migros: 14.95, mopas: 11.45, sokmarket: 129",11.45,129.0,117.55,1026.6375541687012,mopas,sokmarket,3
18 48 adet eti gr granul kakaolu puf x,"sokmarket: 4, carrefour: 4.25, migros: 4.25, marketpaketi: 36, mopas: 44.95",4.0,44.95,40.95,1023.7500190734863,sokmarket,mopas,5
800 asl boregi g peynirli su tereyagl,"carrefour: 280, sokmarket: 75, migros: 25",25.0,280.0,255.0,1019.9999809265137,migros,carrefour,3
500 doga ezmesi gr yulaf,"sokmarket: 30, carrefour: 325, marketpaketi: 50",30.0,325.0,295.0,983.3333015441895,sokmarket,carrefour,3
51 cm deniz top,"migros: 69.95, carrefour: 749.9",69.95,749.9,679.95,972.0515251159668,migros,carrefour,2
12 15 adet ayck beyaz bitter cikolata cubuk eti gr petito ve x,"marketpaketi: 10.5, migros: 7, sokmarket: 75, mopas: 15.5, carrefour: 7",7.0,75.0,68.0,971.4285850524902,carrefour,sokmarket,5
75 dis dis frcas macunu ml now orta performans signal signal white,"migros: 89.95, sokmarket: 10.75, mopas: 85.05, marketpaketi: 64.5, carrefour: 115.15",10.75,115.15,104.4,971.1627960205078,sokmarket,carrefour,5
850 90 bal balparmak cam cicek gr gr hediyeli,"carrefour: 16.8, marketpaketi: 175, mopas: 36.75, migros: 34.5, sokmarket: 69.5",16.8,175.0,158.2,941.6666984558105,carrefour,marketpaketi,5
13 325 adet biskuvi cin eti gr portakal soslu,"carrefour: 19, marketpaketi: 4.75, migros: 4.5, sokmarket: 46.75, mopas: 5.15",4.5,46.75,42.25,938.8889312744141,migros,sokmarket,5
100 dilimli fumeci g italyan salam smokehouse,"migros: 245, carrefour: 2499.9",245.0,2499.9,2254.9,920.3673362731934,migros,carrefour,2
132 6l bardag cay cc irem pasabahce,"migros: 59.95, sokmarket: 599, mopas: 103.45",59.95,599.0,539.05,899.1659164428711,migros,sokmarket,3
12 90 adet antep cikolatas ctr dubai elit fstkl g kadayfl ve x,"marketpaketi: 389, migros: 44.95, carrefour: 49.99, sokmarket: 39.9",39.9,389.0,349.1,874.9373435974121,sokmarket,marketpaketi,4
800 etli gr kedi ksrlastrlms mamas one purina sgr yetiskin,"migros: 44.95, marketpaketi: 269.9, mopas: 436.95",44.95,436.95,392.0,872.0800399780273,migros,mopas,3
200 ankara gr kahvecisi kahvesi menengic sutlu tarihi,"marketpaketi: 55.99, migros: 539.95",55.99,539.95,483.96002,864.3686294555664,marketpaketi,migros,2
500 etli g kayseri mants sahin,"sokmarket: 29.5, migros: 282.95, carrefour: 69.9",29.5,282.95,253.45001,859.1526031494141,sokmarket,migros,3
br958 brons doldurulabilir kalemi krmz tahta,"carrefour: 96.99, marketpaketi: 10.31, migros: 97.95",10.31,97.95,87.64,850.0484466552734,marketpaketi,migros,3
225 chocoeggy cikolata cikolata dolgulu elit fndk g krema sutlu,"marketpaketi: 235, migros: 24.9",24.9,235.0,210.1,843.7751770019531,migros,marketpaketi,2
12 250 adet dunyas filtre gr kahve kahve x,"marketpaketi: 39.99, migros: 4.25, sokmarket: 9.5, mopas: 10.35, carrefour: 9.5",4.25,39.99,35.74,840.9412384033203,migros,marketpaketi,5
1 10lu 16 160 3 arada g g jacobs paket u,"migros: 9.5, sokmarket: 9.5, marketpaketi: 75.99, carrefour: 88.5",9.5,88.5,79.0,831.5789222717285,migros,carrefour,4
210 5li g hindi maret sosis uzun,"migros: 54.9, carrefour: 49.9, sokmarket: 22.5, mopas: 206.95",22.5,206.95,184.45,819.777774810791,sokmarket,mopas,4
400 bees g gurme kusu muhabbet pet yemi,"carrefour: 12.95, sokmarket: 29.5, mopas: 117.25",12.95,117.25,104.3,805.4054260253906,carrefour,mopas,3
3 75 adet balg dardanel ekonomik gr ton x,"marketpaketi: 38, mopas: 34.45, carrefour: 15.47, migros: 5, sokmarket: 45",5.0,45.0,40.0,800.0,migros,sokmarket,5
12 adel boya kalemi kuru renk,"sokmarket: 16.95, carrefour: 149.99, marketpaketi: 53.99",16.95,149.99,133.04001,784.8967552185059,sokmarket,carrefour,3
5 aycicek l pet yag yudum,"sokmarket: 73.5, marketpaketi: 220, carrefour: 73.5, migros: 25, mopas: 103.45",25.0,220.0,195.0,780.0000190734863,migros,marketpaketi,5
25 6 boyas fabercastell ml parmak renk x,"marketpaketi: 45.9, migros: 389.95",45.9,389.95,344.05002,749.564266204834,marketpaketi,migros,2
capraz deri gumus kadn suni terlik,"migros: 249.95, sokmarket: 29.95",29.95,249.95,220.0,734.557580947876,sokmarket,migros,2
180 27 adet kido ml muzlu pnar sut x,"migros: 14, marketpaketi: 108, carrefour: 12.95, mopas: 16.05",12.95,108.0,95.05,733.9768886566162,carrefour,marketpaketi,4
400 dogranms domates g tat,"marketpaketi: 240, carrefour: 29.9, migros: 29.95",29.9,240.0,210.1,702.6756286621094,carrefour,marketpaketi,3
200 cifte fndk g kavrulmus senocak,"mopas: 159.85, migros: 19.95, carrefour: 139.95",19.95,159.85,139.90001,701.2531757354736,migros,mopas,3
100 blue blue cheese danish g heaven,"migros: 209.9, carrefour: 1675",209.9,1675.0,1465.1,697.9990482330322,migros,carrefour,2
dede seti spiderman tamir,"mopas: 103.45, migros: 802.95",103.45,802.95,699.5,676.1720657348633,mopas,migros,2
60 aytac dilimli g pilic salam sipsak,"sokmarket: 13.5, migros: 23.9, mopas: 103.45",13.5,103.45,89.95,666.2962913513184,sokmarket,mopas,3
140 fndk g ici kavrulmus master nut tuzlu,"marketpaketi: 90, mopas: 11.95, migros: 14.25, sokmarket: 25.9, carrefour: 13",11.95,90.0,78.05,653.1381130218506,mopas,marketpaketi,5
25 38 frn koroplast torbas x,"carrefour: 149.95, mopas: 32.4, sokmarket: 19.95, migros: 69.95",19.95,149.95,130.0,651.6290664672852,sokmarket,carrefour,4
2 4 b castell dereceli faber goldfaber kalem kursun,"migros: 93.95, marketpaketi: 12.5, carrefour: 79.99",12.5,93.95,81.45,651.5999794006348,marketpaketi,migros,3
75 dis dis dis ekstra eti ferahlk macunu minesi ml onarm oralb pro professional ve,"mopas: 72.4, sokmarket: 59.95, marketpaketi: 32.5, migros: 9.75, carrefour: 35.95",9.75,72.4,62.65,642.5641059875488,migros,mopas,5
200 6 caprisun ml safari x,"mopas: 13.25, marketpaketi: 95, migros: 13",13.0,95.0,82.0,630.7692527770996,migros,marketpaketi,3
210 beyaz biskuvi cikolata g halley kaplamal sandvic ulker,"marketpaketi: 68.99, sokmarket: 39.5, migros: 9.5",9.5,68.99,59.489998,626.2104988098145,migros,marketpaketi,3
400lu 400lutivoli hijyenik hijyenik kurdan kurdan tivoli tup tup,"carrefour: 7.6, mopas: 55.15, sokmarket: 22.9, migros: 39.95",7.6,55.15,47.550003,625.6579399108887,carrefour,mopas,4
1000 cevre doga dostu genel ml temizleyici turmepa ve yuzey,"migros: 92.95, carrefour: 12.9",12.9,92.95,80.049995,620.5426216125488,carrefour,migros,2
