main_category,sub_category,lowest_category,name,price,high_price,in_stock,product_link,page_link,image_url,date
ORGANİK ve VEGAN,Organik ve Diyet Ürünler,Diyet Ürünleri,Çaykur Organik Hemşin Çayı 400 Gr x 6 Adet,,,True,https://www.marketpaketi.com.tr/caykur-organik-hemsin-cayi-400-gr-x-6-adet-p-5946,https://www.marketpaketi.com.tr/organik-urunler-c-17976?page=2,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/5946/caykur-organik-hemsin-cayi-400-gr-x-6-adet-59d3bb13db49db48b9e5e53489136cdb.jpg,2025-03-01
ORGANİK ve VEGAN,Organik ve Diyet Ürünler,Diyet Ürünleri,Pınar Organik Süt 1 Lt,78.0,,True,https://www.marketpaketi.com.tr/pinar-organik-sut-1-lt-p-471195,https://www.marketpaketi.com.tr/organik-urunler-c-17976?page=2,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/471195/pinar-organik-sut-1lt-17ed20dcd099d95a4364c6308d435a1b.jpg,2025-03-01
ORGANİK ve VEGAN,Organik ve Diyet Ürünler,Diyet Ürünleri,Çaykur Organik Hemşin Çayı 400 Gr,190.0,,True,https://www.marketpaketi.com.tr/caykur-organik-hemsin-cayi-400-gr-p-501746,https://www.marketpaketi.com.tr/organik-urunler-c-17976?page=2,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/501746/caykur-organik-hemsin-cayi-400-gr-079462001508958562.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Pets Family Kedi Kumu Naturel Kalın Bentonit 5 Lt,180.0,,True,https://www.marketpaketi.com.tr/pets-family-kedi-kumu-naturel-kalin-bentonit-5-lt-p-518726,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=4,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/518726/pets-family-kedi-kumu-naturel-kalin-bentonit-5-lt-62cb906bcf5741129830b3f0115daf8e.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Whiskas Kuru Ton Balıklı Sebzeli Kedi Maması 300 Gr,110.0,,True,https://www.marketpaketi.com.tr/whiskas-kuru-ton-balikli-sebzeli-kedi-mamasi-300-gr-p-518955,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=4,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/518955/whiskas-kuru-ton-balikli-sebzeli-kedi-mamasi-300-gr-8ce1e1ccb3e8cfa80479e51de59924fa.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Felix Somon ve Alabalıklı Konserve Yaş Kedi Maması 400 Gr,115.0,,True,https://www.marketpaketi.com.tr/felix-somon-ve-alabalikli-konserve-yas-kedi-mamasi-400-gr-p-545687,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=3,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/545687/felix-somon-ve-alabalikli-konserve-yas-kedi-mamasi-400-gr-271fe4eb42d59059e78099dc6ca0d1f7.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Felix Sığır Etli ve Tavuklu Konserve Yaş Kedi Maması 400 Gr,115.0,,True,https://www.marketpaketi.com.tr/felix-sigir-etli-ve-tavuklu-konserve-yas-kedi-mamasi-400-gr-p-545686,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=3,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/545686/felix-sigir-etli-ve-tavuklu-konserve-yas-kedi-mamasi-400-gr-8cbbffbb8b25a1771e44300491441beb.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Felix Tavuklu Yaş Kedi Maması Yavru 85 Gr,34.0,,True,https://www.marketpaketi.com.tr/felix-tavuklu-yas-kedi-mamasi-yavru-85-gr-p-545681,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=3,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/545681/felix-tavuklu-yas-kedi-mamasi-yavru-85-gr-7c755ae58c7cc5dc4e070382d2ca1cb0.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Felix Ton Balıklı Yaş Kedi Maması 85 Gr,34.5,,True,https://www.marketpaketi.com.tr/felix-ton-balikli-yas-kedi-mamasi-85-gr-p-545679,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=3,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/545679/felix-ton-balikli-yas-kedi-mamasi-85-gr-abbf2f198300c2d8451b37328e755513.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Felix Tavuk Etli Yaş Kedi Maması 85 Gr,34.5,,True,https://www.marketpaketi.com.tr/felix-tavuk-etli-yas-kedi-mamasi-85-gr-p-545677,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=3,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/545677/felix-tavuk-etli-yas-kedi-mamasi-100-gr-371011001564754907.jpg,2025-03-01
PET ÜRÜNLERİ,Balık Yemi,Kedi Maması,Felix Kedi Mamasi Tasty Shreds Somonlu 80 Gr,24.9,,True,https://www.marketpaketi.com.tr/felix-kedi-mamasi-tasty-shreds-somonlu-80-gr-p-545675,https://www.marketpaketi.com.tr/kedi-mamasi-c-16432?page=3,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/min/545675/felix-kedi-mamasi-tasty-shreds-somonlu-80-gr-d4a8171b5a34ab9d6e8c43e4c1d2ac12.jpg,2025-03-01
