main_category,sub_category,lowest_category,name,price,high_price,in_stock,product_link,page_link,image_url,date
Kırmızı/Beyaz Et,Kümes Hayvanları,,Erpiliç Tabaklı Bonfile,279.4,,True,https://www.mopas.com.tr//erpilic-tabakli-bonfile/p/83639,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hd0/h13/8865341440030/83639_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Beypiliç Baget Tabaklı,136.8,,True,https://www.mopas.com.tr//beypilic-baget-tabakli/p/1494,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h51/h0f/8912560226334/1494_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Beypiliç But Izgara,269.05,,True,https://www.mopas.com.tr//beypilic-but-izgara/p/59662,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h45/h5a/8912561209374/59662_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Erpiliç Tabaklı Izgara Kanat,231.79,,True,https://www.mopas.com.tr//erpilic-tabakli-izgara-kanat/p/83644,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h43/h06/8865341833246/83644_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Beypiliç Poşetli Bütün Piliç,204.6,,True,https://www.mopas.com.tr//beypilic-posetli-butun-pilic/p/1437,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h51/hd1/8797308485662/1437_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Beypiliç Kanat Uçsuz,172.46,,True,https://www.mopas.com.tr//beypilic-kanat-ucsuz/p/1488,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h58/hed/8912559800350/1488_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Erpiliç Şinitzel 700 gr,99.95,134.95,True,https://www.mopas.com.tr//erpilic-sinitzel-700-gr/p/702791,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/haa/h93/8818573541406/702791_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Gedik Bütün Piliç,204.84,,True,https://www.mopas.com.tr//gedik-butun-pilic/p/857503,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h09/hb6/8877109903390/857503_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Gedik Tavuk But,103.45,,True,https://www.mopas.com.tr//gedik-tavuk-but/p/857504,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hc2/h44/8865787346974/857504_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Gedik Tavuk But Pirzola,201.2,,True,https://www.mopas.com.tr//gedik-tavuk-but-pirzola/p/857508,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h20/h59/8865787936798/857508_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Gedik Bütün Göğüs,206.94,,True,https://www.mopas.com.tr//gedik-butun-gogus/p/857509,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h9c/ha7/8865788133406/857509_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Şenpiliç Poşetli Bütün Piliç,159.9,199.9,True,https://www.mopas.com.tr//senpilic-posetli-butun-pilic/p/858574,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h58/h1e/8888207999006/858574_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Şenpiliç Izgara Kanat,247.2,,True,https://www.mopas.com.tr//senpilic-izgara-kanat/p/858579,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h25/h12/8888210161694/858579_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Şenpiliç Karışık Döner 300 gr,59.95,82.95,True,https://www.mopas.com.tr//senpilic-karisik-doner-300-gr/p/861207,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h3d/ha4/8968206385182/861207_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Erpiliç Tabaklı Izgara But,293.2,,True,https://www.mopas.com.tr//erpilic-tabakli-izgara-but/p/83629,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h7b/h7d/8865340456990/83629_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Erpiliç Nugget 700 gr,99.95,134.95,True,https://www.mopas.com.tr//erpilic-nugget-700-gr/p/702792,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hb2/h3a/8818574065694/702792_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Erpiliç Tb Döner Piliç 250gr,132.2,,True,https://www.mopas.com.tr//erpilic-tb-doner-pilic-250gr/p/494769,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hd4/h15/8891155382302/494769_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Gedik Kanat Izgara,227.66,,True,https://www.mopas.com.tr//gedik-kanat-izgara/p/857514,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h64/heb/8865789214750/857514_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kümes Hayvanları,,Gedik Ciğer,37.35,,True,https://www.mopas.com.tr//gedik-ciger/p/857515,https://www.mopas.com.tr//kumes-hayvanlari/c/2.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h93/he4/8865789411358/857515_0_110Wx110H,2025-03-01
Bebek,Oyuncaklar,,Tomurcuk Tamir Seti,103.45,,True,https://www.mopas.com.tr//tomurcuk-tamir-seti/p/865568,https://www.mopas.com.tr//oyuncaklar/c/8.17,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hd3/hfa/9072805707806/865568_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kırmızı Et,Açık Kuzu Eti,Süt Kuzu But,2759.85,,True,https://www.mopas.com.tr//sut-kuzu-but/p/1400,https://www.mopas.com.tr/acik-kuzu-eti/c/2.1.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h9e/h5e/8896925990942/1400_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kırmızı Et,Açık Kuzu Eti,Süt Kuzu Pirzola,747.48,,True,https://www.mopas.com.tr//sut-kuzu-pirzola/p/1410,https://www.mopas.com.tr/acik-kuzu-eti/c/2.1.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hd5/hb6/8896926449694/1410_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kırmızı Et,Açık Kuzu Eti,Süt Kuzu Kol,1293.68,,True,https://www.mopas.com.tr//sut-kuzu-kol/p/1413,https://www.mopas.com.tr/acik-kuzu-eti/c/2.1.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hb6/hc0/8896926711838/1413_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kırmızı Et,Açık Dana Eti,Dana Kıyma,327.73,,True,https://www.mopas.com.tr//dana-kiyma/p/30220,https://www.mopas.com.tr/acik-dana-eti/c/2.1.1,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hd2/hde/8896927498270/30220_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Kırmızı Et,Açık Dana Eti,Dana Kontrfile Et ve Süt Kurumu,373.18,,True,https://www.mopas.com.tr//dana-kontrfile-et-ve-sut-kurumu/p/864051,https://www.mopas.com.tr/acik-dana-eti/c/2.1.1,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h07/hb3/9044147961886/864051_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Özel yoğurtlar,Arslan Yoğurt Manda Çömlek 800 gr,178.2,,True,https://www.mopas.com.tr//arslan-yogurt-manda-comlek-800-gr/p/743414,https://www.mopas.com.tr/ozel-yogurtlar/c/3.3.8,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hf2/h5d/8980447199262/743414_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Özel yoğurtlar,Arslan Yoğurt Kaymaklı 900 gr,132.2,,True,https://www.mopas.com.tr//arslan-yogurt-kaymakli-900-gr/p/835438,https://www.mopas.com.tr/ozel-yogurtlar/c/3.3.8,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hc2/h64/8980447395870/835438_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Özel yoğurtlar,Arslan Yoğurt Manda Bakraç 1000 gr,206.95,,True,https://www.mopas.com.tr//arslan-yogurt-manda-bakrac-1000-gr/p/835439,https://www.mopas.com.tr/ozel-yogurtlar/c/3.3.8,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h91/h6e/8980447658014/835439_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Maret Soyulmuş Sosis 5'li 240 gr,206.95,,True,https://www.mopas.com.tr//maret-soyulmus-sosis-5li-240-gr/p/174,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hce/h06/8881166319646/174_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Pınar Minik Kokteyl Sosis 215 gr,229.95,,True,https://www.mopas.com.tr//pinar-minik-kokteyl-sosis-215-gr/p/161,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h66/hd3/8797309009950/161_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Torku Soyulmuş Sosis 300 gr,252.95,,True,https://www.mopas.com.tr//torku-soyulmus-sosis-300-gr/p/703440,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h79/hb7/8803390029854/703440_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Pınar Uzun Sosis 225 gr,229.95,,True,https://www.mopas.com.tr//pinar-uzun-sosis-225-gr/p/164,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h93/hcf/8797309141022/164_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Pınar Ekonomik Sosis 10'lu 430 gr,289.5,349.95,True,https://www.mopas.com.tr//pinar-ekonomik-sosis-10lu-430-gr/p/166,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hd9/h13/8949869936670/166_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Namet Kokteyl Sosis 250 gr,212.7,,True,https://www.mopas.com.tr//namet-kokteyl-sosis-250-gr/p/703199,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h48/h98/9076857012254/703199_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Pınar Sosis Hindi Uzun 430 gr,119.5,144.95,True,https://www.mopas.com.tr//pinar-sosis-hindi-uzun-430-gr/p/770068,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h12/hbf/8840615428126/770068_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Erpiliç Kokteyl Sosis 700 gr,137.95,,True,https://www.mopas.com.tr//erpilic-kokteyl-sosis-700-gr/p/744179,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/ha3/h05/8820606435358/744179_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Namet Hindi Sosis 7/24 140 gr,51.7,,True,https://www.mopas.com.tr//namet-hindi-sosis-7-24-140-gr/p/835024,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h7d/h3b/9076854521886/835024_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Doyfarm Piliç Minik Sosis 500 gr,74.7,,True,https://www.mopas.com.tr//doyfarm-pilic-minik-sosis-500-gr/p/858467,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/ha4/h22/8887579508766/858467_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Maret Sosis Kokteyl Piliç 250 gr,74.7,,True,https://www.mopas.com.tr//maret-sosis-kokteyl-pilic-250-gr/p/860415,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h53/h3e/8939260903454/860415_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Aytaç Sosis Çiftlik 225 gr,63.2,,True,https://www.mopas.com.tr//aytac-sosis-ciftlik-225-gr/p/866726,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h29/hdc/9037617365022/866726_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Pınar Aç Bitir Hindi Sosis 180 gr,65.5,,True,https://www.mopas.com.tr//pinar-ac-bitir-hindi-sosis-180-gr/p/289721,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/heb/h68/8800828063774/289721_0_110Wx110H,2025-03-01
Kırmızı/Beyaz Et,Et Şarküteri,Sosis,Maret Dana Afiyetle Sosis 200 gr,157.5,,True,https://www.mopas.com.tr//maret-dana-afiyetle-sosis-200-gr/p/355293,https://www.mopas.com.tr/sosis/c/2.4.2,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h5c/hff/8801549910046/355293_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activia Orman Meyveli Yoğurt 4X100 gr,91.95,,True,https://www.mopas.com.tr//danone-activia-orman-meyveli-yogurt-4x100-gr/p/80259,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h56/h7f/8841953050654/80259_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activia Probiyotik Çilekli Yoğurt 4X100 gr,91.95,,True,https://www.mopas.com.tr//danone-activia-probiyotik-cilekli-yogurt-4x100-gr/p/80256,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h56/hac/8894817337374/80256_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activia Probiyotik Kayısı Yoğurt 4X100 gr,91.95,,True,https://www.mopas.com.tr//danone-activia-probiyotik-kayisi-yogurt-4x100-gr/p/80257,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h9f/h9a/8894817894430/80257_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activia Probiyotik Sade Yoğurt 4X100 gr,91.95,,True,https://www.mopas.com.tr//danone-activia-probiyotik-sade-yogurt-4x100-gr/p/80255,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h19/hfe/8894816911390/80255_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Disney Milkshake Çilek-Vanilya 188 ml,40.2,,True,https://www.mopas.com.tr//danone-disney-milkshake-cilek-vanilya-188-ml/p/496868,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hac/h5d/8894813044766/496868_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activia Ananaslı 4X100 gr,91.95,,True,https://www.mopas.com.tr//danone-activia-ananasli-4x100-gr/p/202477,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hec/h49/8841943220254/202477_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activia İncir Ceviz Yoğurt 4X100 gr,91.95,,True,https://www.mopas.com.tr//danone-activia-incir-ceviz-yogurt-4x100-gr/p/598857,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h70/h3f/8841943547934/598857_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Pınar Yoğurt Probiyotik 750 gr,72.4,,True,https://www.mopas.com.tr//pinar-yogurt-probiyotik-750-gr/p/859449,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/ha3/ha5/8909639745566/859449_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Eker Yoğurt Probiyotik İncir&Yulaf 125 gr,27.55,,True,https://www.mopas.com.tr//eker-yogurt-probiyotik-incir-yulaf-125-gr/p/858261,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hdf/he2/8884775813150/858261_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Eker Yoğurt Probiyotik Kayısı 4X100 gr,74.7,,True,https://www.mopas.com.tr//eker-yogurt-probiyotik-kayisi-4x100-gr/p/858264,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/hf0/h0e/8884777844766/858264_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Eker Yoğurt Probiyotik Çilekli 4X100 gr,74.7,,True,https://www.mopas.com.tr//eker-yogurt-probiyotik-cilekli-4x100-gr/p/858266,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/ha0/hb0/8884779286558/858266_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activia Shot Nar & Çilek 80 ml,28.7,,True,https://www.mopas.com.tr//danone-activia-shot-nar-cilek-80-ml/p/858870,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/ha6/hd4/8893683630110/858870_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,Danone Activa Shot 80 ml,28.7,,True,https://www.mopas.com.tr//danone-activa-shot-80-ml/p/858869,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h87/hfb/8939209392158/858869_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,İçim Milkshake Muz Bisküvi 190 ml,34.45,,True,https://www.mopas.com.tr//icim-milkshake-muz-biskuvi-190-ml/p/868869,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h20/ha5/9078519234590/868869_0_110Wx110H,2025-03-01
Süt & Kahvaltılık,Yoğurt,Sağlık Yoğurtları,İçim Milkshake Çilekli 190 ml,34.45,,True,https://www.mopas.com.tr//icim-milkshake-cilekli-190-ml/p/868868,https://www.mopas.com.tr/saglik-yogurtlari/c/3.3.4,https://cdnprod.mopas.com.tr/sys-master-mopascdncontainer/h5b/hf7/9078518906910/868868_0_110Wx110H,2025-03-01
