main_category,sub_category,lowest_category,name,price,high_price,in_stock,product_link,page_link,image_url,date
Kağıt Ürünleri,Kağıt Havlu,Kağıt Havlu,Aqua Bambu 3 Katlı Kağıt Havlu 12'li,149.0,,True,https://www.sokmarket.com.tr/aqua-bambu-3-katli-kagit-havlu-12-li-p-2628,https://www.sokmarket.com.tr/kagit-havlu-c-20752?page=1,,2025-03-01
Kağıt Ürünleri,Kağıt Havlu,Kağıt Havlu,Teno Havlu Avantaj Paketi 12'li,100.0,,True,https://www.sokmarket.com.tr/teno-havlu-avantaj-paketi-12-li-p-858,https://www.sokmarket.com.tr/kagit-havlu-c-20752?page=1,,2025-03-01
Kağıt Ürünleri,Kağıt Havlu,Kağıt Havlu,Confort Dev Havlu 600 Yaprak,54.9,,True,https://www.sokmarket.com.tr/confort-dev-havlu-600-yaprak-p-8364,https://www.sokmarket.com.tr/kagit-havlu-c-20752?page=1,,2025-03-01
Kağıt Ürünleri,Kağıt Havlu,Kağıt Havlu,Famılıa Natural Jumbo Havlu 1 Xl=3 Rulo,77.0,,True,https://www.sokmarket.com.tr/familia-natural-jumbo-havlu-1-xl-3-rulo-p-417604,https://www.sokmarket.com.tr/kagit-havlu-c-20752?page=1,,2025-03-01
Kağıt Ürünleri,Peçete,Peçete,Beyaz Güvercin Peçete 200 Yaprak,38.0,45.0,True,https://www.sokmarket.com.tr/beyaz-guvercin-pecete-200-yaprak-p-8764,https://www.sokmarket.com.tr/pecete-c-20753?page=1,,2025-03-01
Kağıt Ürünleri,Peçete,Peçete,Beyaz Güvercin Premium Peçete 50'li,23.5,,True,https://www.sokmarket.com.tr/beyaz-guvercin-premium-pecete-50-li-p-8428,https://www.sokmarket.com.tr/pecete-c-20753?page=1,,2025-03-01
Kağıt Ürünleri,Peçete,Peçete,Confort Peçete 200'lü,21.5,,True,https://www.sokmarket.com.tr/confort-pecete-200-lu-p-4748,https://www.sokmarket.com.tr/pecete-c-20753?page=1,,2025-03-01
Kağıt Ürünleri,Peçete,Peçete,Selpak Deluxe Peçete 20'li,13.95,,True,https://www.sokmarket.com.tr/selpak-deluxe-pecete-20-li-p-1461,https://www.sokmarket.com.tr/pecete-c-20753?page=1,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Kadın Slip 2li Bordo Kalp S-m,59.95,,True,https://www.sokmarket.com.tr/kadin-slip-2li-bordo-kalp-s-m-p-357223,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Lazer Kesim Dikişsiz Slip Ekru L-xl,29.95,,True,https://www.sokmarket.com.tr/lazer-kesim-dikissiz-slip-ekru-l-xl-p-284857,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Lazer Kesim Dikişsiz Slip Siyah S-m,29.95,,True,https://www.sokmarket.com.tr/lazer-kesim-dikissiz-slip-siyah-s-m-p-284856,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,2'li Ribanalı Bato Slip Yeşil-koyu Yeşil M-l,79.95,,True,https://www.sokmarket.com.tr/2-li-ribanali-bato-slip-yesil-koyu-yesil-m-l-p-283821,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,2'li Ribanalı Slip Yeşil-koyu Yeşil S-m,69.95,,True,https://www.sokmarket.com.tr/2-li-ribanali-slip-yesil-koyu-yesil-s-m-p-283939,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Sütyen Ribanalı 85 Siyah,199.0,,True,https://www.sokmarket.com.tr/sutyen-ribanali-85-siyah-p-165919,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Sütyen Ribanalı 80 Siyah,199.0,,True,https://www.sokmarket.com.tr/sutyen-ribanali-80-siyah-p-164075,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Sütyen Ribanalı 80 Ten,199.0,,True,https://www.sokmarket.com.tr/sutyen-ribanali-80-ten-p-164074,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Kadın Slip 2'li Bordo S-m,49.95,,True,https://www.sokmarket.com.tr/kadin-slip-2-li-bordo-s-m-p-26217,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Giyim & Ayakkabı & Aksesuar,İç Giyim,İç Giyim,Thermoform Soft Termal Alt İçlik L-xl,319.0,,True,https://www.sokmarket.com.tr/thermoform-soft-termal-alt-iclik-l-xl-p-19450,https://www.sokmarket.com.tr/ic-giyim-c-30102?page=2,,2025-03-01
Atıştırmalık,Sakız,Sakız,First Sensations Karadut 27 gr,29.5,,True,https://www.sokmarket.com.tr/first-sensations-karadut-27-gr-p-63829,https://www.sokmarket.com.tr/sakiz-c-20387?page=2,,2025-03-01
